t_index	term	df
6090	dispirit	2
6091	displac	6
6092	display	83
6093	displeasur	2
6094	dispos	13
6095	disposses	1
6096	dispossess	1
6097	disproportion	6
6098	disput	37
6099	disqualifi	3
6100	disquiet	5
6101	disregard	3
6102	disrepair	1
6103	disreput	4
6104	disrespect	3
6105	disrupt	22
6106	dissatisfact	1
6107	dissatisfi	5
6108	dissemin	1
6109	dissent	6
6110	disservic	1
6111	dissid	1
6112	dissip	3
6113	dissolv	3
6114	dissuad	3
6115	distanc	47
6116	distant	3
6117	distast	1
6118	distil	2
6119	distin	2
6120	distinct	16
6121	distinguish	9
6122	distort	5
6123	distract	16
6124	distress	4
6125	distribut	77
6126	distributor	17
6127	district	18
6128	distrust	3
6129	disturb	9
6130	disun	3
6131	disus	1
6132	ditch	8
6133	dither	1
6134	ditti	1
6135	ditto	3
6136	diva	3
6137	dive	12
6138	divers	28
6139	diversifi	6
6140	diversionari	1
6141	divert	12
6142	divid	36
6143	dividend	17
6144	divis	61
6145	divo	2
6146	divorc	6
6147	divorce	2
6148	divulg	2
6149	dixey	1
6150	dixi	2
6151	dixon	5
6152	diy	5
6153	dizze	2
6154	dizzi	4
6155	dj	18
6156	djemba	1
6157	djhone	1
6158	djibril	1
6159	djimi	1
6160	djs	6
6161	dlf	1
6162	dlp	1
6163	dmb	1
6164	dmc	2
6165	dmitri	1
6166	dmitriy	1
6167	dmx	1
6168	dna	2
6169	doak	1
6170	dobla	1
6171	dobrow	1
6172	dobson	1
6173	doc	3
6174	docherti	1
6175	dock	6
6176	dockland	1
6177	docomo	2
6178	doctor	39
6179	doctorow	3
6180	docu	1
6181	document	60
6182	documentari	40
6183	dod	1
6184	dodd	2
6185	dodg	6
6186	dodgi	2
6187	doe	226
6188	doesn	70
6189	dog	30
6190	dogg	2
6191	dogmat	1
6192	dogusoy	1
6193	dogvill	1
6194	doha	3
6195	doherti	8
6196	dokic	2
6197	dolbi	1
6198	dolc	1
6199	doldrum	3
6200	dole	3
6201	dolin	1
6202	doll	2
6203	dollar	131
6204	dollop	1
6205	dolor	1
6206	dolphi	1
6207	dom	1
6208	domain	12
6209	dome	3
6210	domecq	1
6211	domenico	1
6212	domest	83
6213	domicil	1
6214	domin	120
6215	dominica	1
6216	dominican	2
6217	dominici	7
6218	dominick	1
6219	dominik	5
6220	dominiqu	1
6221	domino	1
6222	don	308
6223	donald	5
6224	donaldson	2
6225	donat	30
6226	doncast	3
6227	dongwon	1
6228	donkey	4
6229	donmar	1
6230	donna	2
6231	donnacha	1
6232	donnedieu	1
6233	donnelli	3
6234	donnellon	1
6235	donni	3
6236	donofrio	2
6237	donoghu	1
6238	donor	11
6239	dont	2
6240	donut	1
6241	doo	1
6242	doom	14
6243	door	64
6244	doorkeep	1
6245	doorstep	3
6246	doorway	3
6247	dope	26
6248	doren	2
6249	dori	3
6250	doriv	1
6251	doriva	1
6252	dormant	1
6253	dornford	1
6254	dorothi	1
6255	dorp	1
6256	dorri	1
6257	dorset	5
6258	dortmund	2
6259	dos	2
6260	dose	3
6261	dossier	9
6262	dot	14
6263	dotcom	6
6264	douala	1
6265	doubl	142
6266	doubleclick	1
6267	doubli	2
6268	doubt	114
6269	doubter	2
6270	doubtless	1
6271	doug	8
6272	dougal	1
6273	doughnut	1
6274	dougi	1
6275	dougla	24
6276	dougray	2
6277	dour	4
6278	dove	2
6279	dover	1
6280	dow	8
6281	dowd	5
6282	dowel	1
6283	downbeat	2
6284	downdraft	1
6285	downfal	5
6286	downgrad	9
6287	downhil	2
6288	downlight	1
6289	downlink	3
6290	download	116
6291	downright	1
6292	downshift	1
6293	downsid	9
6294	downsiz	1
6295	downstair	1
6296	downstream	2
6297	downtown	1
6298	downturn	11
6299	downward	10
6300	dowson	2
6301	doyl	2
6302	dozen	20
6303	dr	58
6304	drab	1
6305	draconian	4
6306	dracula	3
6307	draft	31
6308	drag	32
6309	dragan	1
6310	dragon	15
6311	dragonhood	2
6312	dragoon	1
6313	drain	7
6314	drainag	1
6315	drake	23
6316	drama	62
6317	dramat	47
6318	dramatis	1
6319	dramatist	1
6320	drank	1
6321	drastic	5
6322	draw	88
6323	drawback	3
6324	drawer	1
6325	drawn	52
6326	drayson	1
6327	drayton	1
6328	dre	4
6329	dread	4
6330	dream	37
6331	dreamlin	3
6332	dreamt	2
6333	dreamwork	1
6334	dredd	1
6335	dredg	1
6336	dresdner	4
6337	dress	32
6338	drew	20
6339	dreyfuss	1
6340	dri	13
6341	dribbl	1
6342	drift	4
6343	drill	7
6344	drink	30
6345	drinker	4
6346	drip	2
6347	driscol	22
6348	driv3r	1
6349	drive	155
6350	drivel	1
6351	driven	72
6352	driver	24
6353	drkw	1
6354	drm	7
6355	drogba	8
6356	droll	1
6357	drop	164
6358	dropout	2
6359	dross	1
6360	drought	2
6361	drove	14
6362	drown	10
6363	drug	88
6364	drugmak	3
6365	druid	1
6366	drum	8
6367	drummer	9
6368	drunk	5
6369	drunkard	1
6370	drunken	4
6371	druri	1
6372	druyun	1
6373	ds	14
6374	dsl	2
6375	dti	3
6376	dtt	1
6377	du	4
6378	dual	14
6379	dualli	2
6380	duan	1
6381	dub	35
6382	dubai	16
6383	dubious	7
6384	dublin	37
6385	duchess	1
6386	duchi	1
6387	duck	4
6388	duckl	1
6389	duda	1
6390	dudek	4
6391	dudley	3
6392	duel	1
6393	duet	13
6394	duff	11
6395	duffer	1
6396	duffi	4
6397	dug	7
6398	dugarri	2
6399	duke	5
6400	duli	1
6401	dulko	2
6402	dull	4
6403	dumb	5
6404	dumbarton	1
6405	dumfriesshir	1
6406	dummi	4
6407	dump	4
6408	dumpsit	1
6409	dumpti	1
6410	dunbar	7
6411	duncan	11
6412	dunde	6
6413	dunfermlin	3
6414	dungeon	2
6415	dunk	2
6416	dunkin	1
6417	dunn	9
6418	dunst	1
6419	dunstan	1
6420	dunwoodi	2
6421	duo	32
6422	duopoli	1
6423	dup	1
6424	dupe	1
6425	duplic	2
6426	durabl	3
6427	duran	3
6428	durat	1
6429	durban	2
6430	dure	366
6431	durex	1
6432	durham	5
6433	dusk	1
6434	dust	3
6435	dusti	2
6436	dustin	8
6437	dutch	29
6438	dutchman	9
6439	duti	58
6440	dutronc	1
6441	duval	1
6442	dvb	3
6443	dvd	51
6444	dvds	20
6445	dvi	1
6446	dvr	2
6447	dvrs	2
6448	dwain	4
6449	dwarf	2
6450	dwayn	4
6451	dwell	1
6452	dweller	1
6453	dwight	1
6454	dwindl	5
6455	dwyer	1
6456	dye	1
6457	dyer	4
6458	dyke	2
6459	dylan	2
6460	dynam	10
6461	dynamit	4
6462	dysfunct	2
6463	dz	1
6464	e	105
6465	e17	1
6466	e200	2
6467	e3	4
6468	ea	9
6469	eaa	1
6470	ead	2
6471	eadi	1
6472	eager	13
6473	eagl	4
6474	eal	3
6475	eamonn	1
6476	ear	14
6477	earl	3
6478	earli	251
6479	earlier	263
6480	earliest	7
6481	earmark	16
6482	earn	147
6483	earner	7
6484	earnest	2
6485	earnshaw	1
6486	earpiec	4
6487	earring	1
6488	earth	23
6489	earthlink	5
6490	earthquak	13
6491	eas	47
6492	easi	99
6493	easier	58
6494	easiest	2
6495	easili	51
6496	east	85
6497	eastbourn	1
6498	eastend	11
6499	easter	3
6500	easterbi	10
6501	eastern	25
6502	eastland	1
6503	easton	1
6504	eastward	1
6505	eastwood	17
6506	easygo	1
6507	easygroup	1
6508	easyjet	1
6509	easymobil	1
6510	eat	21
6511	eaten	1
6512	eater	2
6513	eaton	1
6514	eavesdrop	2
6515	eavi	3
6516	eb	1
6517	ebay	9
6518	ebb	2
6519	ebber	11
6520	ebel	1
6521	ebl	1
6522	ebou	1
6523	ebu	2
6524	ec	7
6525	ecb	4
6526	eccentr	3
6527	eccleshal	1
6528	eccleshar	1
6529	echo	24
6530	eckhard	1
6531	eclac	1
6532	eclect	1
6533	eclips	5
6534	eco	2
6535	ecofin	1
6536	ecolog	2
6537	ecologist	1
6538	econom	208
6539	economi	202
6540	economist	74
6541	ecosystem	5
6542	ecstat	3
6543	eczema	1
6544	ed	19
6545	eddi	21
6546	eddington	1
6547	edelman	1
6548	edelweiss	1
6549	edg	62
6550	edgar	1
6551	edgescap	1
6552	edgi	4
6553	edgwar	2
6554	edinburgh	36
6555	edinburghintern	1
6556	edit	30
6557	edith	4
6558	editor	61
6559	editori	3
6560	edmondson	2
6561	edmonton	1
6562	edna	1
6563	edo	1
6564	edonkey	5
6565	edu	5
6566	eduard	1
6567	eduardo	1
6568	educ	114
6569	educationalist	1
6570	edutain	1
6571	eduvis	2
6572	edward	34
6573	edwin	1
6574	eef	3
6575	eeghen	1
6576	eeoc	3
6577	eerdeken	2
6578	eeri	2
6579	eff	3
6580	effect	199
6581	efficaci	1
6582	effici	52
6583	effort	162
6584	effortless	2
6585	egalitarian	1
6586	egeland	2
6587	egelton	2
6588	egg	7
6589	egm	1
6590	ego	2
6591	egotist	1
6592	egwin	1
6593	egypt	13
6594	egyptian	6
6595	ehud	1
6596	eia	1
6597	eichel	2
6598	eido	1
6599	eidur	3
6600	eighteen	5
6601	eighth	24
6602	eighti	5
6603	eightieth	1
6604	eileen	1
6605	einar	1
6606	eindhoven	2
6607	einhoven	1
6608	einstein	1
6609	eircom	1
6610	eject	3
6611	ekhayelitsha	2
6612	el	14
6613	elaa	1
6614	elabor	6
6615	elain	1
6616	elan	1
6617	elaps	1
6618	elat	2
6619	elder	21
6620	eldest	1
6621	eldin	1
6622	eldon	1
6623	eldridg	1
6624	eleanor	1
6625	elect	241
6626	election	6
6627	elector	43
6628	electr	26
6629	electra	1
6630	electrician	1
6631	electrifi	1
6632	electro	2
6633	electrod	2
6634	electroencephalogram	2
6635	electrolux	1
6636	electron	89
6637	eleg	3
6638	element	44
6639	elementari	1
6640	elen	2
6641	elena	14
6642	eleni	1
6643	eleph	4
6644	elephunk	1
6645	elev	6
6646	elf	1
6647	elfyn	1
6648	elgindi	1
6649	elhorga	3
6650	eli	2
6651	elia	3
6652	elicit	2
6653	elig	14
6654	elimin	13
6655	eliot	5
6656	elis	1
6657	elit	17
6658	elitist	2
6659	eliud	1
6660	eliza	1
6661	elizabeth	8
6662	ella	1
6663	elland	2
6664	ellen	5
6665	elleri	1
6666	elli	18
6667	elliot	6
6668	elliott	7
6669	ellison	2
6670	ellman	1
6671	elloway	1
6672	ellsmor	2
6673	elm	2
6674	eloqu	1
6675	eloy	1
6676	els	61
6677	elsen	2
6678	elsewher	31
6679	elson	1
6680	elspa	2
6681	elton	8
6682	elud	4
6683	elus	4
6684	elvi	21
6685	elwa	1
6686	em	7
6687	email	13
6688	eman	3
6689	embank	1
6690	embarass	1
6691	embargo	6
6692	embark	14
6693	embarrass	26
6694	embassi	8
6695	embattl	5
6696	embed	7
6697	embezzl	3
6698	embodi	2
6699	embrac	24
6700	embroil	3
6701	embryo	1
6702	embryon	1
6703	embu	3
6704	emce	2
6705	emen	1
6706	emerald	1
6707	emerg	124
6708	emerick	1
6709	emi	2
6710	emiew	1
6711	emigr	2
6712	emil	2
6713	emili	5
6714	emilia	1
6715	emilio	4
6716	emin	10
6717	eminem	12
6718	emir	5
6719	emiss	6
6720	emma	4
6721	emmanuel	2
6722	emmanuell	1
6723	emmer	1
6724	emmerson	3
6725	emmi	1
6726	emmiss	1
6727	emot	33
6728	emoticon	1
6729	empathi	1
6730	emperor	3
6731	emphasi	16
6732	emphasis	9
6733	emphat	4
6734	emphysema	1
6735	empir	15
6736	employ	99
6737	employe	45
6738	empow	3
6739	empower	4
6740	empress	1
6741	empt	4
6742	empti	14
6743	emption	1
6744	emul	9
6745	en	6
6746	enabl	61
6747	enact	2
6748	enarsa	1
6749	encamp	1
6750	encapsul	1
6751	encarta	1
6752	encas	1
6753	enchant	1
6754	enclos	1
6755	enclosur	1
6756	encod	1
6757	encompass	4
6758	encor	2
6759	encount	29
6760	encourag	97
6761	encroach	1
6762	encrypt	4
6763	encyclopaedia	1
6764	end	508
6765	endacott	2
6766	endang	3
6767	endear	3
6768	endeavour	3
6769	ended	1
6770	endemol	1
6771	endgam	2
6772	endicott	2
6773	endless	11
6774	endogen	2
6775	endor	1
6776	endorphin	1
6777	endors	11
6778	endow	1
6779	endur	25
6780	enel	1
6781	enemi	16
6782	energet	2
6783	energi	79
6784	energis	2
6785	enfanc	1
6786	enfish	3
6787	enforc	39
6788	eng	2
6789	engag	51
6790	engend	1
6791	engerwitzdorf	1
6792	engin	84
6793	england	245
6794	english	86
6795	englishman	2
6796	engross	2
6797	enhanc	33
6798	enigma	1
6799	enigmat	3
6800	enjoin	1
6801	enjoy	110
6802	enlarg	8
6803	enlighten	2
6804	enlist	6
6805	enliven	1
6806	eno	1
6807	enoch	1
6808	enorm	36
6809	enquir	1
6810	enquiri	2
6811	enqvist	4
6812	enrag	2
6813	enrich	1
6814	enrico	4
6815	enron	10
6816	enshrin	1
6817	ensler	1
6818	ensu	5
6819	ensur	166
6820	enter	104
6821	enterpris	24
6822	entertain	110
6823	enthral	2
6824	enthus	1
6825	enthusiasm	18
6826	enthusiast	12
6827	entic	1
6828	entir	71
6829	entireti	1
6830	entiti	1
6831	entitl	34
6832	entopia	1
6833	entourag	6
6834	entranc	4
6835	entrant	4
6836	entrench	3
6837	entrepreneur	12
6838	entrepreneuri	2
6839	entri	50
6840	entropia	1
6841	envelop	9
6842	envi	1
6843	envious	1
6844	enviro	1
6845	environ	68
6846	environment	31
6847	environmentalist	2
6848	envis	1
6849	envisag	4
6850	envision	1
6851	envoy	3
6852	eo	1
6853	eoc	1
6854	eola	1
6855	eon	1
6856	ep	2
6857	epa	1
6858	ephedrin	2
6859	ephemera	1
6860	ephraim	1
6861	epic	26
6862	epicentr	1
6863	epidem	8
6864	epipsod	1
6865	episod	32
6866	epitestosteron	1
6867	epitom	2
6868	epitomis	4
6869	epo	2
6870	eponym	8
6871	epp	1
6872	epson	1
6873	eq	1
6874	equal	67
6875	equalis	12
6876	equant	1
6877	equat	8
6878	equatori	1
6879	equilibrium	1
6880	equip	43
6881	equipi	1
6882	equiti	32
6883	equival	24
6884	er	3
6885	era	33
6886	eraa	1
6887	erad	5
6888	eras	9
6889	erasur	1
6890	erdogan	2
6891	erect	1
6892	erel	1
6893	erewash	1
6894	erfurt	3
6895	eric	20
6896	erich	1
6897	ericsson	14
6898	eriflleh	1
6899	erik	3
6900	eriksson	6
6901	erin	1
6902	erinl	2
6903	erl	1
6904	erlich	1
6905	erm	2
6906	ernest	3
6907	erni	2
6908	ernst	4
6909	erod	7
6910	eros	1
6911	erot	1
6912	erotica	1
6913	err	2
6914	errant	2
6915	errat	5
6916	errera	1
6917	errigo	1
6918	erron	2
6919	error	29
6920	erupt	3
6921	escal	4
6922	escap	25
6923	eschew	1
6924	escondida	1
6925	escort	3
6926	espanol	2
6927	espanyol	1
6928	especi	85
6929	esper	1
6930	espionag	3
6931	espn	1
6932	esquiv	2
6933	essar	1
6934	essay	1
6935	essenc	4
6936	essenti	48
6937	essex	6
6938	esson	1
6939	esta	1
6940	establish	71
6941	estat	17
6942	esteem	5
6943	estefan	2
6944	estell	3
6945	esther	1
6946	estim	122
6947	estonia	2
6948	et	4
6949	eta	1
6950	etat	1
6951	etchi	1
6952	etern	11
6953	ethel	1
6954	ethernet	1
6955	ethic	9
6956	ethiopia	9
6957	ethiopian	9
6958	ethnic	16
6959	etho	1
6960	etienn	1
6961	eton	5
6962	etsi	2
6963	etzioni	1
6964	eu	71
6965	euan	1
6966	eucalyptus	1
6967	euell	1
6968	eulog	2
6969	euphor	2
6970	eurex	2
6971	euro	116
6972	euro1080	1
6973	eurodisney	1
6974	eurofight	1
6975	euronext	10
6976	europ	254
6977	europay	1
6978	european	289
6979	europhil	2
6980	euroscept	6
6981	eurosceptic	2
6982	eurostar	1
6983	eurotunnel	1
6984	eurovis	1
6985	eurozon	13
6986	eurythm	1
6987	euskarian	1
6988	eustac	1
6989	euston	2
6990	euthanasia	4
6991	ev	2
6992	eva	3
6993	evacu	3
6994	evad	3
6995	evalu	11
6996	evalut	1
6997	evan	12
6998	evanesc	1
6999	evangel	2
7000	evangelist	1
7001	evapor	6
7002	evas	16
7003	eve	21
7004	event	184
7005	eventu	59
7006	everasia	1
7007	evercrack	1
7008	everest	1
7009	everett	2
7010	evergreen	1
7011	everi	242
7012	everitt	1
7013	evermor	1
7014	everquest	1
7015	everth	1
7016	everton	23
7017	everybodi	38
7018	everyday	14
7019	everyon	120
7020	everyth	109
7021	everywher	7
7022	evesham	1
7023	evict	9
7024	evid	125
7025	evidentiari	1
7026	evil	13
7027	evo	1
7028	evoc	2
7029	evok	1
7030	evolut	18
7031	evolv	14
7032	evren	1
7033	ewan	4
7034	ewok	1
7035	ewood	2
7036	ex	78
7037	exacerb	5
7038	exact	57
7039	exagger	4
7040	exam	3
7041	examin	44
7042	exampl	111
7043	exan	1
7044	exanta	1
7045	exasper	1
7046	excav	2
7047	exceed	30
7048	excel	43
7049	excerpt	1
7050	excess	29
7051	exchang	107
7052	exchequ	5
7053	excit	70
7054	exclaim	1
7055	exclud	28
7056	exclus	26
7057	excus	10
7058	execut	272
7059	exeem	2
7060	exel	1
7061	exemplari	1
7062	exempt	12
7063	exercis	30
7064	exert	4
7065	exet	6
7066	exhaust	4
7067	exhibit	26
7068	exhibitor	9
7069	exhilar	1
7070	exhort	1
7071	exil	2
7072	eximbank	1
7073	exist	127
7074	exit	19
7075	exodus	1
7076	exoner	2
7077	exorbit	2
7078	exorcist	2
7079	exoskeleton	1
7080	exot	4
7081	expand	59
7082	expans	38
7083	expat	1
7084	expatri	1
7085	expect	540
7086	expedi	1
7087	expel	2
7088	expenditur	10
7089	expens	79
7090	experi	132
7091	experienc	36
7092	experiment	8
7093	expert	109
7094	expertis	8
7095	expir	17
7096	explain	99
7097	explan	16
7098	explet	4
7099	explicit	7
7100	explod	16
7101	exploit	43
7102	explor	47
7103	explos	21
7104	expo	5
7105	expon	1
7106	exponenti	4
7107	export	89
7108	expos	29
7109	exposit	1
7110	exposur	16
7111	express	91
7112	expressionist	1
7113	expropri	1
7114	expuls	1
7115	expung	2
7116	extend	79
7117	extens	31
7118	extent	23
7119	extern	17
7120	extinct	1
7121	extort	1
7122	extortion	1
7123	extortionist	2
7124	extra	116
7125	extract	8
7126	extradit	1
7127	extraordinari	19
7128	extraordinarili	3
7129	extravag	2
7130	extravaganza	2
7131	extrem	65
7132	extremist	11
7133	extric	1
7134	exuber	3
7135	exxon	2
7136	exxonmobil	1
7137	eye	85
7138	eyebal	3
7139	eyebrow	3
7140	eyelash	1
7141	eyesight	1
7142	eyetoy	1
7143	eyewit	1
7144	eyr	3
7145	eyton	1
7146	f	26
7147	f4	1
7148	fa	41
7149	fabian	2
7150	fabien	9
7151	fabiola	1
7152	fabl	2
7153	fabrega	4
7154	fabric	7
7155	fabul	3
7156	face	383
7157	faceless	1
7158	facey	1
7159	facial	2
7160	facil	34
7161	facilit	6
7162	facsimil	1
7163	fact	154
7164	faction	2
7165	facto	1
7166	factor	74
7167	factori	26
7168	factual	6
7169	fad	1
7170	fade	10
7171	fadiga	1
7172	fagin	6
7173	fahey	1
7174	fahrenheit	6
7175	fai	1
7176	fail	221
7177	failur	61
7178	faint	1
7179	fair	103
7180	fairbank	2
7181	fairer	7
7182	fairford	1
7183	fairground	1
7184	fairi	3
7185	fairmont	1
7186	fairway	1
7187	fairytal	1
7188	faisal	1
7189	fait	1
7190	faith	32
7191	fake	36
7192	falcon	22
7193	falic	2
7194	falkland	1
7195	fall	198
7196	fallen	51
7197	faller	1
7198	fallibl	2
7199	fallon	1
7200	fallout	3
7201	fallow	1
7202	fallujah	1
7203	fals	39
7204	falsehood	1
7205	falsifi	6
7206	falter	11
7207	faltskog	1
7208	fame	29
7209	famili	168
7210	familiar	25
7211	familiaris	1
7212	famin	5
7213	famous	55
7214	fan	160
7215	fanara	1
7216	fanat	2
7217	fanatic	1
7218	fanci	12
7219	fanclub	1
7220	fanfar	3
7221	fang	2
7222	fanlo	1
7223	fanni	3
7224	fanolua	1
7225	fansit	1
7226	fantasi	15
7227	fantasis	1
7228	fantast	53
7229	fao	2
7230	far	277
7231	farag	1
7232	farah	1
7233	faraj	1
7234	farc	4
7235	farda	1
7236	fare	11
7237	farega	1
7238	farewel	6
7239	farga	1
7240	fargo	4
7241	farhat	1
7242	farina	3
7243	farm	22
7244	farmer	16
7245	farmhous	1
7246	farmland	1
7247	farmyard	1
7248	farndon	1
7249	farnham	1
7250	faro	2
7251	farquhar	1
7252	farrel	8
7253	fascin	7
7254	fascism	2
7255	fascist	2
7256	fashion	38
7257	fashionista	1
7258	fast	89
7259	faster	56
7260	fastest	40
7261	fastow	1
7262	fat	15
7263	fatah	1
7264	fatal	5
7265	fatboy	1
7266	fate	18
7267	fathead	1
7268	father	51
7269	fathi	2
7270	fathom	3
7271	fatigu	4
7272	fato	1
7273	fatten	1
7274	faulkner	2
7275	fault	23
7276	faulti	3
7277	faultless	2
7278	fausto	1
7279	fava	7
7280	favour	96
7281	favourit	99
7282	fawcett	2
7283	fawk	1
7284	fax	6
7285	fay	3
7286	fayettevill	1
7287	faze	1
7288	fazela	1
7289	fbi	6
7290	fc	4
7291	fcc	5
7292	fda	2
7293	fdi	2
7294	fear	164
7295	feargal	1
7296	fearn	3
7297	fearsom	4
7298	feasibl	6
7299	feat	4
7300	feather	1
7301	featherboy	1
7302	featur	153
7303	featurett	1
7304	februari	183
7305	feckless	1
7306	fed	29
7307	feder	123
7308	federico	1
7309	federlin	2
7310	fedorova	1
7311	fee	65
7312	feed	18
7313	feedback	9
7314	feeder	2
7315	feel	192
7316	feelgood	1
7317	feeli	3
7318	feet	26
7319	feign	2
7320	feint	1
7321	feleppa	3
7322	felgat	2
7323	felic	1
7324	feliciano	4
7325	felin	1
7326	felip	2
7327	felix	2
7328	fell	114
7329	fella	2
7330	fellman	2
7331	fellner	1
7332	fellow	74
7333	fellowship	3
7334	feloni	3
7335	felt	94
7336	femal	37
7337	feminist	2
7338	fenc	3
7339	fend	1
7340	fender	3
7341	fenerbahc	2
7342	fenic	2
7343	fensao	1
7344	fenton	1
7345	feofanova	3
7346	fer	1
7347	ferdinand	25
7348	ferenc	1
7349	ferencvaro	1
7350	fergi	2
7351	fergus	1
7352	ferguson	31
7353	fern	2
7354	fernando	12
7355	fernsehen	1
7356	feroc	4
7357	feroci	4
7358	feroz	4
7359	ferrari	2
7360	ferreira	6
7361	ferrerira	1
7362	ferrero	5
7363	ferri	5
7364	ferrochrom	1
7365	ferrovi	1
7366	ferstman	1
7367	fertil	4
7368	fertilis	1
7369	fervent	1
7370	fervour	3
7371	fest	4
7372	festen	2
7373	festiv	72
7374	feta	1
7375	fetch	8
7376	fete	3
7377	feud	19
7378	fever	7
7379	fewer	30
7380	fewest	1
7381	feyenoord	3
7382	ffion	2
7383	fh	1
7384	fi	23
7385	fianc	1
7386	fiancaill	1
7387	fiance	2
7388	fiasco	3
7389	fiat	6
7390	fibr	3
7391	fickl	1
7392	fiction	20
7393	fictionalis	1
7394	fictiti	1
7395	fidd	1
7396	fiddl	4
7397	fiddler	1
7398	fide	3
7399	fidel	1
7400	fido	1
7401	fiduciari	1
7402	field	103
7403	fiend	2
7404	fiendish	1
7405	fienn	2
7406	fierc	30
7407	fieri	2
7408	fierro	1
7409	fiesta	1
7410	fifa	10
7411	fife	2
7412	fifth	69
7413	fifti	6
7414	figaro	1
7415	fight	162
7416	fightback	1
7417	fighter	8
7418	fightstar	3
7419	figo	2
7420	figur	277
7421	figurehead	1
7422	fiji	5
7423	filderstadt	2
7424	file	128
7425	fileshar	1
7426	filethat	1
7427	filho	1
7428	filippo	2
7429	filler	2
7430	film	288
7431	filmgoer	1
7432	filmic	1
7433	filmmak	4
7434	filo	1
7435	filter	17
7436	filthi	3
7437	final	302
7438	finalis	9
7439	finalist	15
7440	finan	1
7441	financ	124
7442	financi	191
7443	finanziaria	1
7444	finchley	1
7445	findlay	2
7446	fine	81
7447	finegold	4
7448	finest	10
7449	finger	8
7450	fingerbob	1
7451	fingermous	1
7452	fingerprint	8
7453	fingersmith	1
7454	fingertip	1
7455	finian	1
7456	finish	110
7457	finit	2
7458	finjan	1
7459	finland	9
7460	finlay	1
7461	finn	2
7462	finnan	4
7463	finni	1
7464	finnigan	1
7465	finnish	15
7466	finsburi	1
7467	finsih	1
7468	fintian	1
7469	fiona	2
7470	fionnualla	1
7471	fiorentina	1
7472	fiorina	2
7473	fipresci	1
7474	fipro	1
7475	firearm	3
7476	firebird	1
7477	firebrand	1
7478	firefight	3
7479	firefli	1
7480	firefox	4
7481	fireman	1
7482	firemen	2
7483	firepow	2
7484	firesid	1
7485	fireston	1
7486	firewal	17
7487	firewir	1
7488	firework	4
7489	firm	476
7490	firmer	1
7491	firstsav	1
7492	firth	1
7493	fis	1
7494	fiscal	33
7495	fischer	2
7496	fish	24
7497	fisher	3
7498	fisheri	1
7499	fishermen	4
7500	fissil	1
7501	fist	2
7502	fiszman	1
7503	fit	116
7504	fitch	3
7505	fitzgerald	1
7506	fitzpatrick	1
7507	fitzsimon	1
7508	fivefold	1
7509	fix	53
7510	fixat	1
7511	fixtur	15
7512	fizz	3
7513	fizzi	1
7514	fizzl	2
7515	flack	1
7516	flag	19
7517	flagel	1
7518	flagrant	1
7519	flagship	10
7520	flaherti	1
7521	flail	1
7522	flair	10
7523	flak	3
7524	flakier	1
7525	flamboy	3
7526	flame	3
7527	flamenco	1
7528	flamethrow	2
7529	flamini	4
7530	flanim	1
7531	flank	5
7532	flanker	33
7533	flap	1
7534	flare	6
7535	flash	21
7536	flashi	2
7537	flashmob	1
7538	flashpoint	2
7539	flat	30
7540	flatman	1
7541	flatt	1
7542	flatten	2
7543	flatter	6
7544	flatteri	1
7545	flaunt	1
7546	flautist	1
7547	flavia	1
7548	flavio	1
7549	flavour	4
7550	flaw	24
7551	flaxse	1
7552	fled	3
7553	fledg	2
7554	fledgl	3
7555	flee	4
7556	fleet	6
7557	fleetboston	1
7558	fleme	2
7559	flesh	2
7560	fleshi	1
7561	fletcher	6
7562	flew	7
7563	flexibl	29
7564	fli	93
7565	flic	1
7566	flick	5
7567	flicker	1
7568	flickr	1
7569	flight	34
7570	flimsi	2
7571	flip	2
7572	flipstart	2
7573	flo	2
7574	float	18
7575	floati	1
7576	flock	4
7577	floella	1
7578	floiran	1
7579	flood	18
7580	floor	16
7581	flop	6
7582	floppi	4
7583	flora	2
7584	flore	1
7585	florent	1
7586	florentino	2
7587	florian	2
7588	florida	16
7589	florin	2
7590	flotat	5
7591	flounder	2
7592	flourish	12
7593	flout	6
7594	flow	30
7595	flower	5
7596	flown	2
7597	floyd	4
7598	flu	6
7599	fluctuat	5
7600	fluent	2
7601	fluf	3
7602	fluff	2
7603	fluid	6
7604	flung	2
7605	fluoresc	1
7606	flurri	4
7607	flush	7
7608	fluster	1
7609	flutist	1
7610	flutter	1
7611	flyer	1
7612	flynn	6
7613	fm	5
7614	fm2005	1
7615	fnsea	1
7616	focal	1
7617	focker	8
7618	focus	164
7619	focuss	4
7620	foe	4
7621	fog	3
7622	fogarti	1
7623	fogg	7
7624	foggi	1
7625	foil	3
7626	fold	16
7627	folder	2
7628	foley	10
7629	folk	7
7630	folkeston	1
7631	follet	1
7632	follett	1
7633	folli	1
7634	folllow	1
7635	follow	429
7636	fomc	1
7637	foment	1
7638	fond	8
7639	fonda	1
7640	fondat	1
7641	fonetographi	2
7642	font	2
7643	fonteyn	1
7644	foo	3
7645	food	49
7646	foodservic	1
7647	fool	13
7648	foolish	8
7649	foolproof	1
7650	foot	45
7651	footag	19
7652	footbal	119
7653	footfal	1
7654	foothold	2
7655	footprint	1
7656	footstep	8
7657	footswitch	1
7658	footwear	3
7659	footwork	1
7660	foray	8
